ra,dec,simbad_name,obsid
17.6196298394,-46.0740357472,ESO_243-49_HLX-1,00031287162
17.6155214512,-46.0749170721,ESO_243-49_HLX-1,00031287170
17.5790459895,-45.9926162591,ESO_243-49_HLX-1,00031287234
17.615695159,-46.0727456088,ESO_243-49_HLX-1,00031287235
17.618219198,-46.0723016135,ESO_243-49_HLX-1,00031287236
17.6183460327,-46.0730345637,ESO_243-49_HLX-1,00031287237
17.6188410021,-46.0739656408,ESO_243-49_HLX-1,00031287237
17.6177458671,-46.0731913828,ESO_243-49_HLX-1,00031287238
17.6183070747,-46.0726609258,ESO_243-49_HLX-1,00031287239
17.6162719848,-46.0720878121,ESO_243-49_HLX-1,00031287240
17.6195961649,-46.0746205041,ESO_243-49_HLX-1,00031287241
17.6183657363,-46.0726701544,ESO_243-49_HLX-1,00031287242
17.6168915333,-46.0733133096,ESO_243-49_HLX-1,00031287243
17.6191575932,-46.0733802726,ESO_243-49_HLX-1,00031287245
17.61864931,-46.0739619052,ESO_243-49_HLX-1,00031287250
17.6168576244,-46.0739102725,ESO_243-49_HLX-1,00031287251
17.6172868723,-46.0728473674,ESO_243-49_HLX-1,00031287252
17.6176596377,-46.0733651517,ESO_243-49_HLX-1,00031287255
17.6172058401,-46.0730772276,ESO_243-49_HLX-1,00032577001
17.6182468927,-46.0729941099,ESO_243-49_HLX-1,00032577002
17.6168563909,-46.0735005832,ESO_243-49_HLX-1,00032577003
17.616775562,-46.0725910542,ESO_243-49_HLX-1,00032577004
17.6188232169,-46.072955599,ESO_243-49_HLX-1,00032577005
17.6165552269,-46.0727888257,ESO_243-49_HLX-1,00032577006
17.6164399873,-46.0732913692,ESO_243-49_HLX-1,00032577007
17.6173228917,-46.0735467752,ESO_243-49_HLX-1,00032577009
17.6178865514,-46.0724007342,ESO_243-49_HLX-1,00032577010
17.6161159442,-46.0725026807,ESO_243-49_HLX-1,00032577043
17.6170804054,-46.0728333583,ESO_243-49_HLX-1,00032577044
17.6176082386,-46.0722646833,ESO_243-49_HLX-1,00032577044
17.6187635164,-46.0728598951,ESO_243-49_HLX-1,00032577045
17.6172482795,-46.0722729038,ESO_243-49_HLX-1,00032577046
17.6190624905,-46.0730274301,ESO_243-49_HLX-1,00032577046
17.6157260595,-46.0738925448,ESO_243-49_HLX-1,00032577047
17.6191141714,-46.073004654,ESO_243-49_HLX-1,00032577047
17.6177343091,-46.0733616155,ESO_243-49_HLX-1,00032577048
17.6192657289,-46.0722872402,ESO_243-49_HLX-1,00032577048
17.6162493376,-46.0729451565,ESO_243-49_HLX-1,00032577049
17.6176114862,-46.0732009339,ESO_243-49_HLX-1,00032577049
17.6175214261,-46.0721405006,ESO_243-49_HLX-1,00032577050
17.6172959265,-46.0719475526,ESO_243-49_HLX-1,00032577050
17.6172821989,-46.0712485666,ESO_243-49_HLX-1,00032577051
17.6183138336,-46.0716270364,ESO_243-49_HLX-1,00032577051
17.61874573,-46.0736748461,ESO_243-49_HLX-1,00032577052
17.6197103339,-46.0746005091,ESO_243-49_HLX-1,00032577052
17.6173370057,-46.0733363381,ESO_243-49_HLX-1,00032577053
17.6179185013,-46.0723026377,ESO_243-49_HLX-1,00032577055
17.6183106156,-46.0725989512,ESO_243-49_HLX-1,00032577083
17.6201508427,-46.0713229098,ESO_243-49_HLX-1,00032577084
17.6165065309,-46.0729680229,ESO_243-49_HLX-1,00032577085
17.5609905687,-46.0727718815,ESO_243-49_HLX-1,00032577088
17.6172626265,-46.0733434781,ESO_243-49_HLX-1,00032577089
17.6167617935,-46.0727144343,ESO_243-49_HLX-1,00032577090
17.6166491909,-46.0742103317,ESO_243-49_HLX-1,00032577093
17.6178241413,-46.0720719647,ESO_243-49_HLX-1,00032577095
17.6146530453,-46.0744286316,ESO_243-49_HLX-1,00032577096
17.6166635237,-46.0724330203,ESO_243-49_HLX-1,00032577096
17.6192703137,-46.0720183836,ESO_243-49_HLX-1,00032577146
17.6175700085,-46.0737164942,ESO_243-49_HLX-1,00032577147
17.6168141029,-46.0720050127,ESO_243-49_HLX-1,00032577148
17.6167067556,-46.0733832636,ESO_243-49_HLX-1,00032577149
17.6169799189,-46.072459207,ESO_243-49_HLX-1,00032577151
17.6174586716,-46.0737737001,ESO_243-49_HLX-1,00032577154
17.6169435154,-46.0711685222,ESO_243-49_HLX-1,00032577156
17.618860482,-46.0737969569,ESO_243-49_HLX-1,00091907033
17.6168289235,-46.0728661553,ESO_243-49_HLX-1,00091907034
17.6167185806,-46.0726028886,ESO_243-49_HLX-1,00091907035
17.6162316883,-46.0728418864,ESO_243-49_HLX-1,00091907036
17.6173418659,-46.0738699488,ESO_243-49_HLX-1,00093143002
17.6185041066,-46.0722742872,ESO_243-49_HLX-1,00093143003
17.6173917008,-46.0729930299,ESO_243-49_HLX-1,00093143003
17.6191977765,-46.0722154061,ESO_243-49_HLX-1,00093143004
17.6170474396,-46.073251256,ESO_243-49_HLX-1,00095738010
17.6743051083,-46.1513606052,ESO_243-49_HLX-1,00095738030
17.6176231275,-46.0727871174,ESO_243-49_HLX-1,00011102001
124.8731221752,70.7045516328,Holmberg_II_X-1,00011102001
124.8702417098,70.7057195527,Holmberg_II_X-1,00011102001
124.8683065358,70.7059387537,Holmberg_II_X-1,00011102002
124.8709517595,70.7051418609,Holmberg_II_X-1,00011102004
124.8711851903,70.7058747802,Holmberg_II_X-1,00011102004
124.8725460084,70.7047160878,Holmberg_II_X-1,00011102005
124.8674544357,70.7047954193,Holmberg_II_X-1,00011102005
124.8710977331,70.7055426296,Holmberg_II_X-1,00011102006
124.8705593838,70.7047165123,Holmberg_II_X-1,00011102006
124.868215044,70.7054018393,Holmberg_II_X-1,00011102007
124.8721511744,70.7054789468,Holmberg_II_X-1,00011102007
124.8719393903,70.7043399334,Holmberg_II_X-1,00011102007
124.8698509589,70.7045848568,Holmberg_II_X-1,00011102007
124.8718611567,70.7046378842,Holmberg_II_X-1,00011102007
124.8717437905,70.7048786674,Holmberg_II_X-1,00011102008
124.8736771367,70.7054101658,Holmberg_II_X-1,00011102008
124.8727070461,70.705756764,Holmberg_II_X-1,00011102009
124.8697395133,70.7042525872,Holmberg_II_X-1,00011102009
124.8708404309,70.7047250925,Holmberg_II_X-1,00011102009
124.8711452147,70.7050380898,Holmberg_II_X-1,00011102010
124.8715079088,70.7048579933,Holmberg_II_X-1,00011102010
124.8715626147,70.7055189817,Holmberg_II_X-1,00011102011
124.870910693,70.7051855862,Holmberg_II_X-1,00011102011
124.8699786938,70.7047661418,Holmberg_II_X-1,00011102012
124.8732735982,70.7035829614,Holmberg_II_X-1,00011102012
124.869404235,70.7045897817,Holmberg_II_X-1,00011102013
124.8713408822,70.7053091546,Holmberg_II_X-1,00011102013
124.8735285053,70.7048792557,Holmberg_II_X-1,00011102013
124.8718692679,70.7049596984,Holmberg_II_X-1,00011102015
124.8694162229,70.7053547489,Holmberg_II_X-1,00011102015
124.8710512971,70.7047065792,Holmberg_II_X-1,00011102016
124.871754721,70.7048461742,Holmberg_II_X-1,00011102016
124.8716385899,70.7056197239,Holmberg_II_X-1,00011102017
124.8695455704,70.7049972868,Holmberg_II_X-1,00011102017
124.8722322971,70.7045960764,Holmberg_II_X-1,00011102017
124.8690377597,70.7054288324,Holmberg_II_X-1,00011102018
124.8742723829,70.7057045168,Holmberg_II_X-1,00011102019
124.872809971,70.7054361483,Holmberg_II_X-1,00011102019
124.8704023934,70.7055322453,Holmberg_II_X-1,00011102020
124.8740078976,70.705609312,Holmberg_II_X-1,00011102020
124.870342116,70.7057241322,Holmberg_II_X-1,00011102021
124.869926123,70.7060933917,Holmberg_II_X-1,00011102021
124.8720765866,70.7050020917,Holmberg_II_X-1,00011102022
124.8721778047,70.7049961956,Holmberg_II_X-1,00011102022
124.8721225581,70.7046938439,Holmberg_II_X-1,00011102022
124.8710125352,70.705573929,Holmberg_II_X-1,00011102022
