,ndata,mean,std,max,min,max/min,sigma_xs,F_var,kurtosis,von_neumann,skew,t_diff_max,t_diff_min,t_diff_mean,y_diff_max,y_diff_min,y_diff_mean,ls_z_fal,ls_pow[0],ls_freq[0],ls_period[0],ls_fap[0],ls_pow[1],ls_freq[1],ls_period[1],ls_fap[1],ls_pow[2],ls_freq[2],ls_period[2],ls_fap[2],simbad_name,readable_name,FILTER
16,44,19.297819137573242,0.22055696,19.770573,18.65588,1.0597502,-0.027205297892743896,,0.6737523319462366,1.92531849889144,-0.13912427869721555,1941.8344865587933,1.2131239690934308,118.37515408004181,0.48908806,-1.0842552,-0.009279561,0.4589767504093012,0.4260596687035061,0.017738270494646602,56.37528192513466,0.01200000000000001,0.37046765219555444,0.23462853605908146,4.262056170985917,0.04600000000000004,0.36813667570125214,0.6126148322057958,1.6323470269228966,0.05300000000000005,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVW2
17,79,18.111703872680664,0.260724,18.811731,16.784979,1.120748,0.021983268706104425,0.008186284342788896,6.985788837020859,1.7440556916847232,-1.2623139638149143,1933.9319885826408,0.9944924625015119,65.21045060919697,1.0823841,-1.2811165,-0.0030878263,0.6364666025778527,0.442421300458811,0.1996467818092213,5.0088460777473545,0.04500000000000004,0.36257224846711517,0.0016684472071965086,599.3596894685686,0.10399999999999998,0.3218363683788519,0.3997090988807411,2.501819455199253,0.16700000000000004,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,V
18,54,17.26835060119629,0.41017544,17.750267,16.106634,1.102047,0.16733186885162638,0.023688549739366776,1.1705488176701335,0.49887870806441914,-1.4196882088903189,869.3418972407453,0.0,90.00176703953967,0.7070751,-1.0213776,0.005628226,0.5581148918008927,0.6055741771340607,0.013284874105557846,75.27357745766226,0.0010000000000000009,0.5534197219923939,0.7607335112379119,1.3145207687416571,0.0020000000000000018,0.5115836036265065,0.7923052184102158,1.2621398632291354,0.017000000000000015,NAME_NGC_300_ULX1,NGC300 ULX-1,B
19,67,17.181272506713867,0.5314676,17.834455,15.4647045,1.1532362,0.2803159267155092,0.03081545331018591,2.774194701238012,0.3750024223494986,-1.7604246190469386,869.3418606559062,0.0,72.27415399236469,0.4734745,-1.7163296,0.0038599824,0.39480071512493253,0.4687496860143773,0.0010838557869697974,922.631970066573,0.0010000000000000009,0.403193027755791,0.7497902497468052,1.3337063269863638,0.008000000000000007,0.31095239643382055,0.03504544950973772,28.534375046955535,0.08799999999999997,NAME_NGC_300_ULX1,NGC300 ULX-1,U
20,56,17.818384170532227,0.539174,18.424988,16.087715,1.1452831,0.2879805250891617,0.03011710626959155,3.1862508050820013,0.33937084157900815,-1.9573647702040928,1630.4633954740784,0.0,93.7880148152338,0.44143486,-1.8075619,-0.0011876887,0.5518214352539547,0.5946620712415128,0.0025121141235110844,398.0710870739976,0.0040000000000000036,0.5163479278591283,0.0371356503362136,26.928301805578702,0.02100000000000002,0.4383920614816424,0.7712088990653253,1.2966655353847194,0.11699999999999999,NAME_NGC_300_ULX1,NGC300 ULX-1,UVM2
21,74,17.58403778076172,0.52040386,18.177616,15.820069,1.1490226,0.26784851905461904,0.02943242300247889,3.2546920919253823,0.4100099571743187,-1.8424974956245495,869.3417796880822,0.0,71.94724327359998,0.66166496,-2.1668482,0.0032536495,0.3775522708895249,0.45076121915806744,0.0011523186102894126,867.8155425684249,0.0020000000000000018,0.42317545250484573,0.7499886864456143,1.3333534466223116,0.0040000000000000036,0.3747338559566803,0.7854408429904751,1.273170358944686,0.01100000000000001,NAME_NGC_300_ULX1,NGC300 ULX-1,UVW1
22,75,17.9165096282959,0.44403756,18.36815,16.272787,1.1287649,0.19363299588362376,0.02456044747855705,5.171261082710878,0.4162077174517194,-2.2621059050018175,869.3420095494221,0.0,71.16478555010188,0.41427803,-1.996479,0.0014703854,0.387504601036845,0.39087145036894555,0.004759831010510007,210.0914922802799,0.013000000000000012,0.3836247539315167,0.8571401057568394,1.1666704116207676,0.01100000000000001,0.38033691661223235,0.03574995327895613,27.972064528225285,0.02200000000000002,NAME_NGC_300_ULX1,NGC300 ULX-1,UVW2
23,49,16.72987937927246,0.40415317,17.21593,15.676574,1.0981947,0.15773543137676863,0.02373951374946785,0.6157059570006349,0.40807171274227566,-1.2413340037426566,869.3421335423627,0.0,98.19662589221404,0.5362778,-0.81842804,-0.0015245676,0.585815709982192,0.7377937429045035,0.01330524289764972,75.15834229352123,0.0,0.5675432577387531,0.7607851011217789,1.3144316292807237,0.014000000000000012,0.49934349372833753,0.7963005780367196,1.255807200925939,0.05700000000000005,NAME_NGC_300_ULX1,NGC300 ULX-1,V
24,36,13.848787307739258,0.063072614,13.955885,13.672424,1.0207323,0.0035634335233933395,0.004310449737675244,0.07792587823602304,0.4844364575305687,-0.45606449248472625,871.3990906062536,0.0,37.21789519300593,0.15731049,-0.09540272,-0.00068705424,0.40760089695153817,0.8328388765259419,0.009905086376052086,100.958231158664,0.0,0.3584449576007807,0.9489310911335443,1.0538172996370594,0.05700000000000005,0.2918036252033135,0.03662034550420834,27.30722461056742,0.14200000000000002,SWIFT_J0243.6+6124,Swift J0243.6+6124,B
25,64,13.427218437194824,0.07044377,13.577452,13.244698,1.0251236,0.004424407961778343,0.004953834899517178,-0.28834267971204763,0.3199876997187036,0.08665651019698316,311.96068266678776,0.0,20.676637740676394,0.16417313,-0.101875305,0.0010140889,0.33185048169290154,0.466835882336385,0.0026888932987367106,371.90021652023813,0.0,0.30802858068769723,0.48079923259565643,2.0798702081976534,0.013000000000000012,0.2669635873745958,0.24742488586112912,4.041630640829172,0.07399999999999995,SWIFT_J0243.6+6124,Swift J0243.6+6124,U
26,74,15.897637367248535,0.07262406,16.036266,15.663839,1.0237762,0.00317391225866772,0.003543764653585052,1.132530603106293,0.9841831471255214,-0.9546685746650168,525.5573121325215,0.0,17.844901096293157,0.23744011,-0.25246906,0.0008151172,0.2857906597766575,0.3581592932311844,0.007448256144977324,134.25961467159564,0.0010000000000000009,0.2904131831086199,0.9310841839588722,1.0740167400847742,0.0050000000000000044,0.22854124049070182,0.505345748482155,1.9788432038927355,0.06599999999999995,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVM2
27,67,14.366188049316406,0.07825025,14.509719,14.171226,1.023886,0.00552993602772702,0.005176288893358598,-0.032174416877892575,0.32251438763773826,-0.8002265337700607,405.1817859636503,0.0,19.737233986756497,0.12926483,-0.12084484,-2.2512493e-05,0.30212267784918473,0.54523846207827,0.005605969153027728,178.3812883558073,0.0,0.32278032962257214,0.5002870561882057,1.9988524340789753,0.0030000000000000027,0.25471194531035196,0.044603174648662494,22.419928802758143,0.03700000000000003,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVW1
28,72,15.440387725830078,0.10893679,16.15457,15.222847,1.0612055,0.010941271463202106,0.006774475787972034,23.31834519646203,1.7867843920109343,3.604099343477292,410.8620043663177,0.0,18.34833095456762,0.8386049,-0.7637987,-0.0013500402,0.2658366862647834,0.18704917168906085,0.00560570732361267,178.38962012657078,0.09499999999999997,0.16286115749026217,0.32861931428631463,3.043034771622506,0.20699999999999996,0.14100703138431547,0.07668712368470156,13.039998789255565,0.32999999999999996,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVW2
29,36,12.847270965576172,0.057269912,12.933401,12.665211,1.0211754,0.0026576331971834106,0.004012699482685303,1.2440310971505442,0.6766139677158539,-0.9427295217756182,871.3983728288222,0.0,37.22095822956014,0.18038559,-0.121479034,-4.1634696e-05,0.4338491504878963,0.7653456475162702,0.004684560088352078,213.46721594765097,0.0,0.31863708165609533,0.9749520500210661,1.0256914685992944,0.07699999999999996,0.2907152261254817,0.673125169450225,1.4856077968630261,0.16000000000000003,SWIFT_J0243.6+6124,Swift J0243.6+6124,V
