,simbad_name,readable_name,filter,N,SRCEXP_TOT,t_diff_mean,t_diff_std,t_diff_n_sigma,MAG_MEAN,COI_SRC_RATE_MEAN
83,NAME_NGC_925_ULX-2,NGC925 ULX-2,UVW1,27,51152.055,-437260.4849838477,53963183.70070859,-0.00810294083849812,17.548317,0.7122809
84,NAME_NGC_925_ULX-2,NGC925 ULX-2,UVW2,26,49411.742,-374054.53022119997,82474311.87734613,-0.004535406500602092,17.668144,0.5724583
85,NAME_UGC_6456_ULX,UGC6456 ULX,B,5,4160.7637,13249680.997555003,22498715.999242213,0.5889083180569624,18.355495,1.7521122
86,NAME_UGC_6456_ULX,UGC6456 ULX,U,6,9061.953,17075379.768522013,30711512.70955482,0.5559927942985889,17.447798,1.9440776
87,NAME_UGC_6456_ULX,UGC6456 ULX,UVM2,13,13657.01,24465733.576384168,40979565.6457301,0.597022764660108,16.905342,0.79554975
88,NAME_UGC_6456_ULX,UGC6456 ULX,UVW1,6,8038.317,18933277.105063997,22277773.679182876,0.8498729441154126,17.113466,1.0711061
89,NAME_UGC_6456_ULX,UGC6456 ULX,UVW2,4,6481.5845,1731519.5265900295,29059.740741586254,59.584823622053854,16.773405,1.2809544
90,NAME_UGC_6456_ULX,UGC6456 ULX,V,2,290.45407,0.0,0.0,,17.858541,0.8668688
91,NOVA_Cyg_1989,V404Cyg,B,22,3534.8777,10036078.975846143,41324759.87399214,0.24285873666170726,17.306826,32.36121
92,NOVA_Cyg_1989,V404Cyg,U,79,109592.74,-626690.8180966538,26315631.926521115,-0.023814393659498997,23.169415,11.031324
93,NOVA_Cyg_1989,V404Cyg,UVM2,16,14814.97,1302.1532226681709,58474084.034589365,2.226889474485661e-05,49.943626,0.05695733
94,NOVA_Cyg_1989,V404Cyg,UVW1,63,210893.92,652086.6792420966,32868645.262024265,0.019839171162783022,31.917416,0.035012733
95,NOVA_Cyg_1989,V404Cyg,UVW2,7,9602.163,-2473907.705906669,97858268.22916377,-0.025280517943698844,33.05778,0.008613997
96,NOVA_Cyg_1989,V404Cyg,V,24,4090.1907,9163359.802738218,39588303.300573595,0.23146634330765697,15.928908,31.132498
97,NOVA_Cyg_1989,V404Cyg,WHITE,3,3346.721,8192736.4697699845,8103034.728329986,1.0110701415515821,17.549208,11.443835
98,RX_J133001+47137,M51 ULX-7,B,66,9319.419,-903367.2827501545,82286205.89996368,-0.010978356249021723,16.213045,13.634922
99,RX_J133001+47137,M51 ULX-7,U,56,97117.84,-6321007.937150182,66585121.91202439,-0.09493123622273779,15.530762,11.474786
100,RX_J133001+47137,M51 ULX-7,UVM2,58,73506.52,-3650302.6991177215,94731477.56744242,-0.0385331549011146,15.288774,3.439155
101,RX_J133001+47137,M51 ULX-7,UVW1,33,65424.543,-5929787.662389064,74290302.06607835,-0.07981913516941616,15.331519,5.6484327
102,RX_J133001+47137,M51 ULX-7,UVW2,47,61527.176,-6993951.146869347,94724242.02816202,-0.0738348599800884,15.339312,5.0697103
103,RX_J133001+47137,M51 ULX-7,V,1,44.91245,,,,15.835459,6.5756803
104,SMC_X-3,SMC X-3,B,3,1052.2716,176238.8498700261,130401.00178998709,1.351514539388751,71.181984,7.7491183
105,SMC_X-3,SMC X-3,U,12,18799.215,-26512381.842013635,68163418.86242867,-0.3889532286448608,42.034813,48.590668
106,SMC_X-3,SMC X-3,UVM2,11,21487.084,-22848307.647676,64219076.05226069,-0.3557869258206445,20.782173,27.59601
107,SMC_X-3,SMC X-3,UVW1,6,9857.37,-11671889.27823999,28008749.29863852,-0.41672297301784017,27.636053,31.101393
108,SMC_X-3,SMC X-3,UVW2,2,3691.0842,360750.9783799648,0.0,inf,12.951826,44.31343
109,SMC_X-3,SMC X-3,V,4,1174.7817,118429.19329667091,167484.17134105685,0.7071067811865475,56.91697,6.9587646
110,SS433,SS433,B,7,2079.0303,47276202.47323183,88488311.82715829,0.5342649384652641,16.211805,14.3622265
111,SS433,SS433,U,5,7887.3022,-24107508.666745007,54244772.126625314,-0.4444208671477147,17.577215,1.9162964
112,SS433,SS433,UVM2,4,6657.412,5888145.775333325,4905618.494030215,1.2002861173364328,80.26996,-0.0016713117
113,SS433,SS433,UVW1,7,7894.0244,10532409.904013336,69103279.36132413,0.15241548594158524,18.826563,0.25375977
114,SS433,SS433,UVW2,4,4451.3486,4159464.7918233275,3617266.790267422,1.1498916261899006,19.924238,0.0788372
115,SS433,SS433,V,1,40.90951,,,,14.963987,14.654023
116,SWIFT_J0243.6+6124,Swift J0243.6+6124,B,31,5401.127,85110.14371796648,24297014.458715424,0.0035029054233219658,13.849672,112.67217
117,SWIFT_J0243.6+6124,Swift J0243.6+6124,U,27,30771.396,3361221.168601153,6105040.4027407,0.5505649343601755,13.454469,78.89155
118,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVM2,38,27813.215,-50223.65779756855,8548306.358983207,-0.005875275836925256,15.887639,1.9401448
119,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVW1,13,15582.282,4261677.889186665,5506952.671761526,0.7738722562551948,14.421469,12.897105
120,SWIFT_J0243.6+6124,Swift J0243.6+6124,UVW2,19,21277.605,2957106.1554166675,6929622.668173642,0.42673408019718867,15.505291,4.186245
121,SWIFT_J0243.6+6124,Swift J0243.6+6124,V,36,5609.882,72937.58407911402,22494759.469357934,0.0032424256048822677,12.847271,88.14163
122,SWIFT_J0243.6+6124,Swift J0243.6+6124,WHITE,1,530.34375,,,,13.910614,310.09894
123,[BBL2003b]_IC_342_X-2,IC342 ULX-2,B,1,440.8609,,,,20.742874,0.22016937
124,[BBL2003b]_IC_342_X-2,IC342 ULX-2,U,9,32871.848,19686406.5095625,55921022.39483557,0.35203945969665573,46.77569,-0.099039964
125,[BBL2003b]_IC_342_X-2,IC342 ULX-2,UVM2,12,16169.436,8112725.251534549,47643648.89834049,0.17027925944221975,73.43066,-0.007956303
126,[BBL2003b]_IC_342_X-2,IC342 ULX-2,UVW1,10,20187.545,11677952.54293222,39053173.95305755,0.29902697683341384,67.469894,0.013428587
127,[BBL2003b]_IC_342_X-2,IC342 ULX-2,UVW2,13,57594.293,7432275.764252499,17315762.63140004,0.42922023837257767,81.67432,-0.023431875
128,[BBL2003b]_IC_342_X-2,IC342 ULX-2,V,1,631.8256,,,,23.131218,0.007864624
129,[LB2005]_NGC_253_X2,NGC253 X-2,B,7,1124.9829,32381914.988788333,51705538.15228774,0.6262755624632365,15.6646185,22.689302
130,[LB2005]_NGC_253_X2,NGC253 X-2,U,6,2248.5867,11629802.068956006,23125861.902918696,0.5028916162250462,43.78102,4.2299843
131,[LB2005]_NGC_253_X2,NGC253 X-2,UVM2,1,976.2484,,,,19.072443,0.102625325
132,[LB2005]_NGC_253_X2,NGC253 X-2,UVW1,2,2304.977,-160025018.80515003,0.0,-inf,17.29373,0.97952044
133,[LB2005]_NGC_253_X2,NGC253 X-2,UVW2,1,970.4715,,,,18.294134,0.31880963
134,[LB2005]_NGC_253_X2,NGC253 X-2,V,7,653.73883,32384336.605110005,51704539.89672786,0.6263344895785342,14.566106,19.622854
135,[LB2005]_NGC_253_X9,NGC253 X-9,B,7,1124.9829,32381914.988788333,51705538.15228774,0.6262755624632365,17.046206,6.3554955
136,[LB2005]_NGC_253_X9,NGC253 X-9,U,6,2248.5867,11629802.068956006,23125861.902918696,0.5028916162250462,44.351837,1.9206284
137,[LB2005]_NGC_253_X9,NGC253 X-9,UVM2,1,976.2484,,,,17.890196,0.3048926
138,[LB2005]_NGC_253_X9,NGC253 X-9,UVW1,2,2304.977,-160025018.80515003,0.0,-inf,17.580528,0.75105584
139,[LB2005]_NGC_253_X9,NGC253 X-9,UVW2,1,970.4715,,,,17.83057,0.4885794
140,[LB2005]_NGC_253_X9,NGC253 X-9,V,7,653.73883,32384336.605110005,51704539.89672786,0.6263344895785342,16.294851,4.002549
141,[LB2005]_NGC_5236_X11,M83 ULX-2,B,6,556.141,59083081.46506419,105367596.56690466,0.5607329329899685,16.270365,13.322372
142,[LB2005]_NGC_5236_X11,M83 ULX-2,U,31,59156.566,-7741045.356177336,54640825.33264144,-0.14167145735906328,16.518282,5.0081077
143,[LB2005]_NGC_5236_X11,M83 ULX-2,UVM2,20,31556.322,-12314953.538629472,76139911.18870091,-0.16174110721128604,17.951632,0.31022996
144,[LB2005]_NGC_5236_X11,M83 ULX-2,UVW1,10,16405.465,7143028.740067787,13420476.094381204,0.5322485349873975,17.181068,1.0554466
145,[LB2005]_NGC_5236_X11,M83 ULX-2,UVW2,8,15720.733,-32979336.923974283,101784016.57521112,-0.32401292495275924,17.80421,0.5531982
146,[LB2005]_NGC_5236_X11,M83 ULX-2,V,6,776.94336,59085169.366218194,105371813.83690624,0.5607303055224029,15.440651,8.998347
147,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,B,88,14876.758,981108.6255517235,44512417.82434902,0.022041234188250294,17.672676,3.3476236
148,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,U,1,1630.519,,,,17.756014,1.4418905
149,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,UVM2,13,4606.4053,3899409.4578716704,9483767.372880489,0.41116671303245067,19.461302,0.07538624
150,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,UVW1,1,440.24188,,,,18.413218,0.3283214
151,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,UVW2,1,68.09624,,,,18.818298,0.19538717
152,[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,V,92,13939.254,938010.5793168129,43523492.0743663,0.02155182258156316,16.803625,2.309642
153,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,B,88,14876.758,981108.6255517235,44512417.82434902,0.022041234188250294,18.803339,1.2088536
154,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,U,1,1630.519,,,,18.332117,0.8483056
155,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVM2,13,4606.4053,3899409.4578716704,9483767.372880489,0.41116671303245067,31.918308,0.05229283
156,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVW1,1,440.24188,,,,18.805481,0.22880188
157,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,UVW2,1,68.09624,,,,19.077911,0.15382169
158,[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,V,92,13939.254,938010.5793168129,43523492.0743663,0.02155182258156316,18.185154,0.67775565
159,[LM2005]_IC_342_ULX1,IC342 ULX-1,B,1,440.8609,,,,19.253382,0.8680903
160,[LM2005]_IC_342_ULX1,IC342 ULX-1,U,11,33588.83,15783004.381074006,50613448.478612304,0.3118342032699752,19.626848,0.36117253
161,[LM2005]_IC_342_ULX1,IC342 ULX-1,UVM2,12,16169.436,8112725.251534549,47643648.89834049,0.17027925944221975,34.515766,0.014356874
162,[LM2005]_IC_342_ULX1,IC342 ULX-1,UVW1,10,20187.545,11677952.54293222,39053173.95305755,0.29902697683341384,20.343967,0.095003925
163,[LM2005]_IC_342_ULX1,IC342 ULX-1,UVW2,13,57594.293,7432275.764252499,17315762.63140004,0.42922023837257767,27.861166,0.016739806
164,[LM2005]_IC_342_ULX1,IC342 ULX-1,V,1,631.8256,,,,18.364285,0.634544
165,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,B,5,1171.0356,61108285.223255,104374170.91867895,0.5854732515275862,66.44924,1.5134265
166,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,U,8,6790.162,28635643.13067143,86080416.62356068,0.3326615303908009,29.353783,0.2976771
167,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,UVM2,2,2112.5896,214980108.81959,0.0,inf,59.13295,0.045135412
168,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,UVW1,4,3294.5176,87436868.80122,111016409.17627062,0.7876031070540996,59.131355,0.07601628
169,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,UVW2,4,4141.045,60926849.36914334,108071448.41605924,0.5637645304297569,39.251022,0.10057524
170,[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,V,5,1171.0358,61108269.4640975,104374116.98130108,0.585473403095187,66.202545,0.82310677
171,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,B,1,178.46614,,,,17.897787,2.6943035
172,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,U,21,33743.867,-2746504.5876399996,41109389.93257806,-0.06680966543518249,17.326685,2.166814
173,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,UVM2,69,61370.062,-787673.6564205885,30657097.74546853,-0.02569302753183855,17.076172,0.66733015
174,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,UVW1,53,47708.953,-1022177.876896347,26346545.730748247,-0.03879741531746207,17.176296,1.0036234
