,ndata,mean,std,max,min,max/min,sigma_xs,F_var,kurtosis,von_neumann,skew,t_diff_max,t_diff_min,t_diff_mean,y_diff_max,y_diff_min,y_diff_mean,ls_z_fal,ls_pow[0],ls_freq[0],ls_period[0],ls_fap[0],ls_pow[1],ls_freq[1],ls_period[1],ls_fap[1],ls_pow[2],ls_freq[2],ls_period[2],ls_fap[2],simbad_name,readable_name,curve
46,64.0,0.023078453125000002,0.005503424499032647,0.036445,0.010486,3.475586496280755,9.580578858134921e-06,0.13411865172324458,0.0233630849109141,1.3591700305098502,0.32201438279629585,285.2292780081043,1.9472109049966093,20.61046897009048,0.021628999999999995,-0.01769,0.0002190476190476191,0.3345399493202002,0.24582788047017967,0.5553491922467725,1.8006688655732201,0.23199999999999998,0.23158560013650084,0.24698378994667844,4.048848712767307,0.33299999999999996,0.2234186143524426,0.5114510205906652,1.9552214381058792,0.374,[LM2005]_NGC_5204_ULX1,NGC5204 ULX-1,HARD
47,64.0,0.036649875,0.00907940243507936,0.069028,0.01963,3.516454406520632,4.986069723983135e-05,0.19266670756342516,1.1770545659099225,0.9957170133274704,0.9309051448840058,285.2292780081043,1.9472109049966093,20.61046897009048,0.028734000000000003,-0.020822,9.241269841269832e-05,0.2978277816463627,0.40463695965933527,0.0020782007073429864,481.1854776425884,0.0,0.3981149561495222,0.8041054982980472,1.2436179109788192,0.0,0.23988326914670843,0.4019366344591133,2.48795435466016,0.06999999999999995,[LM2005]_NGC_5204_ULX1,NGC5204 ULX-1,SOFT
48,479.0,0.08090477185803759,0.019353905067791728,0.1405589,0.01202121,11.692575040282966,-8.022454464869528e-05,,0.9517109416030132,1.4373300477979765,-0.3410246965724066,1752.7879783911994,0.0689283911997336,10.287493053972394,0.08767152,-0.08909128,2.325389121338932e-05,0.09916814246541,0.09237528237010652,0.13403719766143107,7.460615541410621,0.010000000000000009,0.07878323546016597,0.00522985892900912,191.20974649109053,0.08299999999999996,0.068359014003352,0.965692537857378,1.0355262786007868,0.261,[LM2005]_NGC_5408_ULX1,NGC5408 ULX-1,PC
49,479.0,0.017768173277661795,0.006186492805541995,0.04796,0.001114,43.05206463195692,1.369472646815629e-05,0.20827344482542898,1.7529786023018223,1.669189553259447,0.5364256830234494,1752.7879783911994,0.0689283911997336,10.287493053972394,0.032670000000000005,-0.026492,-1.8472803347280305e-05,0.10248933077008263,0.060816953421431785,0.005473889251836569,182.68546439160886,0.606,0.05864820806279301,0.13509466239368334,7.402216951295015,0.655,0.05756025844261472,0.5333114775276092,1.8750768399658726,0.752,[LM2005]_NGC_5408_ULX1,NGC5408 ULX-1,HARD
50,479.0,0.06342927557411274,0.0163672983240753,0.106032,0.008676,12.221300138312587,0.0001780906592028197,0.21039277381147273,0.3928040029998989,1.3686522163887254,-0.23607135383009076,1752.7879783911994,0.0689283911997336,10.287493053972394,0.073847,-0.069316,4.171966527196659e-05,0.09235444424048908,0.08811691057622363,0.13403719766143107,7.460615541410621,0.031000000000000028,0.08274618694071444,0.005189187208537878,192.70840688782224,0.05800000000000005,0.0666472846119886,0.9656518661369068,1.0355698933203568,0.277,[LM2005]_NGC_5408_ULX1,NGC5408 ULX-1,SOFT
51,165.0,0.07038542709090909,0.03129438453665018,0.1937126,0.03086662,6.275795665349818,0.0005627524512574682,0.33703573274368226,4.323968013318342,1.4242730462326125,2.1334410071545697,1090.6535481574974,0.08507476850354578,19.505302708989646,0.1260841,-0.13395104000000002,6.438420731707254e-05,0.14547770323938594,0.09331150357053317,0.3329922716766179,3.00307269884972,0.40900000000000003,0.0886993449414072,0.6067139600759085,1.6482231591883691,0.481,0.08744362574501215,0.033448962146923666,29.89629381047839,0.5,[SRW2006b]_NGC_55_ULX,NGC55 ULX,PC
52,165.0,0.021269442424242425,0.014245104008832039,0.09316,0.004221,22.07059938403222,0.00017083819546799707,0.6145205104487265,7.057942821743335,1.6212210664137519,2.4468499604563716,1090.6535481574974,0.08507476850354578,19.505302708989646,0.068667,-0.07375300000000001,2.18292682926828e-05,0.13142966207649107,0.10429459368354611,0.811036134056923,1.2329906868610794,0.08899999999999997,0.0962396446770554,0.7582674942650086,1.3187958175225534,0.14500000000000002,0.08337950841646455,0.01475485871353219,67.77428502808132,0.356,[SRW2006b]_NGC_55_ULX,NGC55 ULX,HARD
53,165.0,0.049472303030303026,0.018961368257886954,0.115024,0.021198,5.4261722804038115,0.00028888931921463413,0.3435608073599,2.694815965152845,1.4163820114180055,1.7326479790985312,1090.6535481574974,0.08507476850354578,19.505302708989646,0.079781,-0.071748,3.7432926829268494e-05,0.16038996199555128,0.10809762081345897,0.022445075176097916,44.55320341563901,0.269,0.10469755646821455,0.6067139600759085,1.6482231591883691,0.33399999999999996,0.10444144094676393,0.45097144618768714,2.217435290978081,0.349,[SRW2006b]_NGC_55_ULX,NGC55 ULX,SOFT
54,2.0,0.0157583,0.0014948599999999998,0.01725316,0.01426344,1.209607219576764,-7.268588160445852e-05,,-2.0,4.0,1.671485281086249e-15,351.12340202659834,351.12340202659834,351.12340202659834,-0.0029897199999999995,-0.0029897199999999995,-0.0029897199999999995,,,,,,,,,,,,,,[SST2011]_J141939.39+564137.8,NGC5585 ULX,PC
55,2.0,0.010422,0.0025849999999999996,0.013007,0.007837,1.6596912083705497,1.3305914999999971e-06,0.11068054871751683,-2.0,3.9999999999999996,-1.0535166056891682e-15,351.12340202659834,351.12340202659834,351.12340202659834,-0.005169999999999999,-0.005169999999999999,-0.005169999999999999,,,,,,,,,,,,,,[SST2011]_J141939.39+564137.8,NGC5585 ULX,HARD
