SRCID,RA,DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
23769,13.696526908216,-37.807088139186,164,162,164,573871.8,581188.0190000001
24423,13.762820284525,-37.760163635512,164,162,164,573871.8,581188.0190000001
22289,13.593335080029,-37.720471941586,164,162,164,573871.8,581188.0190000001
7115,13.70954752163,-37.647054895916,164,162,164,573871.8,581188.0190000001
7231,13.706786636454,-37.666544026235,164,162,164,573871.8,581188.0190000001
7271,13.858839879941,-37.643703840272,164,162,164,573871.8,581188.0190000001
7281,13.814783313638,-37.74424022985,164,162,164,573871.8,581188.0190000001
7282,13.823276935781,-37.748716278277,164,162,164,573871.8,581188.0190000001
7284,13.688534188528,-37.696050213522,164,162,164,573871.8,581188.0190000001
22371,13.551290338754,-37.722578763551,164,162,164,573871.8,581188.0190000001
38419,13.583209524202,-37.652337630248,164,162,164,573871.8,581188.0190000001
128510,13.522880853424,-37.682345855974,164,162,164,573871.8,581188.0190000001
131906,13.628077469978,-37.636051515197,164,162,164,573871.8,581188.0190000001
20541,13.588153079774,-37.711454163853,164,162,164,573871.8,581188.0190000001
11735,13.677596118041,-37.625934147518,164,162,164,573871.8,581188.0190000001
132021,13.575593026492,-37.732423059662,164,162,164,573871.8,581188.0190000001
131950,13.677323404947,-37.720228017965,164,162,164,573871.8,581188.0190000001
21030,13.627695404919,-37.667879515259,164,162,164,573871.8,581188.0190000001
131929,13.695503232342,-37.552526709248,164,162,164,573871.8,581188.0190000001
21180,13.763918718685,-37.628166087558,164,162,164,573871.8,581188.0190000001
22191,13.861705257932,-37.637042161712,164,162,164,573871.8,581188.0190000001
11457,13.863087332518,-37.603536768552,164,162,164,573871.8,581188.0190000001
131704,13.843677397868,-37.664718380361,164,162,164,573871.8,581188.0190000001
131690,13.85432670238,-37.782150254633,164,162,164,573871.8,581188.0190000001
131657,13.803575045554,-37.64709911467,164,162,164,573871.8,581188.0190000001
131622,13.889521847993,-37.719483239049,164,162,164,573871.8,581188.0190000001
21960,13.862979238955,-37.754573038428,164,162,164,573871.8,581188.0190000001
27007,13.754726509762,-37.577311680393,164,162,164,573871.8,581188.0190000001
7347,13.670077747779,-37.680328681905,164,162,164,573871.8,581188.0190000001
132055,13.775578889044,-37.631757615484,164,162,164,573871.8,581188.0190000001
48722,13.796853728876,-37.777227039431,164,162,164,573871.8,581188.0190000001
8903,13.836611475779,-37.801979268324,164,162,164,573871.8,581188.0190000001
55666,13.881354820735,-37.667347580116,164,162,164,573871.8,581188.0190000001
54604,13.632245940137,-37.640623974817,164,162,164,573871.8,581188.0190000001
52969,13.797809386717,-37.670769271225,164,162,164,573871.8,581188.0190000001
50907,13.756074606603,-37.655038730072,164,162,164,573871.8,581188.0190000001
49896,13.807714832923,-37.799909015297,164,162,164,573871.8,581188.0190000001
46892,13.753850917632,-37.663508395684,164,162,164,573871.8,581188.0190000001
61953,13.631346124362,-37.756721268019,164,162,164,573871.8,581188.0190000001
46472,13.687203540551,-37.628648679807,164,162,164,573871.8,581188.0190000001
44648,13.831488761001,-37.584344885725,164,162,164,573871.8,581188.0190000001
44030,13.721809396235,-37.690598427477,164,162,164,573871.8,581188.0190000001
43535,13.850067242149,-37.756326220053,164,162,164,573871.8,581188.0190000001
42408,13.784819895427,-37.733119246954,164,162,164,573871.8,581188.0190000001
42279,13.72239202215,-37.719746150469,164,162,164,573871.8,581188.0190000001
60843,13.565352761187,-37.751144580732,164,162,164,573871.8,581188.0190000001
8293,13.557445371077,-37.620670489711,164,162,164,573871.8,581188.0190000001
7480,13.677054668856,-37.729100957739,164,162,164,573871.8,581188.0190000001
7794,13.925771976393,-37.673403646085,164,162,164,573871.8,581188.0190000001
28104,13.605837640407,-37.744549584633,164,162,164,573871.8,581188.0190000001
7569,13.641145928991,-37.796508402479,164,162,164,573871.8,581188.0190000001
7589,13.685260460537,-37.687531242529,164,162,164,573871.8,581188.0190000001
7590,13.700579350366,-37.76140223123,164,162,164,573871.8,581188.0190000001
7609,13.782154180193,-37.738862656334,164,162,164,573871.8,581188.0190000001
7782,13.671364085317,-37.564077516413,164,162,164,573871.8,581188.0190000001
28835,13.729455877131,-37.687998587985,164,162,164,573871.8,581188.0190000001
8148,13.801113468833,-37.639732344716,164,162,164,573871.8,581188.0190000001
7802,13.627388279806,-37.720791556826,164,162,164,573871.8,581188.0190000001
7835,13.710405708873,-37.767226470277,164,162,164,573871.8,581188.0190000001
7959,13.928936873957,-37.743088800837,164,162,164,573871.8,581188.0190000001
7993,13.738509357587,-37.719823739219,164,162,164,573871.8,581188.0190000001
29357,13.795610352184,-37.648394966023,164,162,164,573871.8,581188.0190000001
11175,13.700304361777,-37.782698664579,164,162,164,573871.8,581188.0190000001
132049,13.776780671066,-37.786484807102,164,162,164,573871.8,581188.0190000001
131586,13.865764943651,-37.603547034715,164,162,164,573871.8,581188.0190000001
132071,13.77005671618,-37.695508368536,164,162,164,573871.8,581188.0190000001
12774,13.723051882674,-37.67431150564,164,162,164,573871.8,581188.0190000001
12628,13.649505480204,-37.576421618991,164,162,164,573871.8,581188.0190000001
11874,13.656471281482,-37.714191291824,164,162,164,573871.8,581188.0190000001
14519,13.773789250841,-37.688718485274,164,162,164,573871.8,581188.0190000001
12241,13.834609243699,-37.671355014345,164,162,164,573871.8,581188.0190000001
16541,13.641276319516,-37.74526732028,164,162,164,573871.8,581188.0190000001
13868,13.698638772574,-37.549524685359,164,162,164,573871.8,581188.0190000001
11739,13.796564611147,-37.683754347277,164,162,164,573871.8,581188.0190000001
132106,13.781420182068,-37.75417388498,164,162,164,573871.8,581188.0190000001
132192,13.73706239591,-37.727289345634,164,162,164,573871.8,581188.0190000001
12210,13.880158018186,-37.632539328296,164,162,164,573871.8,581188.0190000001
132177,13.745621022205,-37.606120425779,164,162,164,573871.8,581188.0190000001
132132,13.722303591754,-37.744081819662,164,162,164,573871.8,581188.0190000001
132123,13.716181493557,-37.785345260345,164,162,164,573871.8,581188.0190000001
132114,13.78810648915,-37.776894811293,164,162,164,573871.8,581188.0190000001
13799,13.592250478754,-37.673887795766,164,162,164,573871.8,581188.0190000001
13547,13.73593315109,-37.791220011029,164,162,164,573871.8,581188.0190000001
20000,13.71464157443,-37.59302814474,164,162,164,573871.8,581188.0190000001
20003,13.604570395737,-37.732995891227,164,162,164,573871.8,581188.0190000001
14779,13.64062153092,-37.740182331688,164,162,164,573871.8,581188.0190000001
11355,53.4136853416,-36.167106254262,145,143,144,310850.351,323995.763
3437,53.359435278562,-36.146833536763,145,143,144,310850.351,323995.763
3508,53.346635594874,-36.200658854902,145,143,144,310850.351,323995.763
3374,53.435278003646,-36.166960153627,145,143,144,310850.351,323995.763
50616,53.457814357805,-36.144660647481,145,143,144,310850.351,323995.763
3330,53.338399396421,-36.137739960234,145,143,144,310850.351,323995.763
3277,53.416381761521,-36.176308515518,145,143,144,310850.351,323995.763
3129,53.392423291617,-36.183940177748,145,143,144,310850.351,323995.763
9396,53.416992536175,-36.123703311214,145,143,144,310850.351,323995.763
55515,53.354252400879,-36.179406072033,145,143,144,310850.351,323995.763
7510,53.378451394993,-36.185097778156,145,143,144,310850.351,323995.763
48275,53.342941665363,-36.151529952326,145,143,144,310850.351,323995.763
14106,53.425548402946,-36.163156761285,145,143,144,310850.351,323995.763
46234,53.361268389177,-36.137537558893,145,143,144,310850.351,323995.763
3875,53.38313495005,-36.112227035097,145,143,144,310850.351,323995.763
40084,53.435590907111,-36.171281863862,145,143,144,310850.351,323995.763
5589,53.412882747995,-36.090593865137,145,143,144,310850.351,323995.763
169845,53.405346972391,-36.122802650466,145,143,144,310850.351,323995.763
17826,53.408275013144,-36.159676673331,145,143,144,310850.351,323995.763
4294,53.40521683781,-36.173844558925,145,143,144,310850.351,323995.763
169798,53.36759935237,-36.155574290404,145,143,144,310850.351,323995.763
17987,53.434205378236,-36.121465149439,145,143,144,310850.351,323995.763
169835,53.40095532258,-36.099223708064,145,143,144,310850.351,323995.763
26693,10.708010488582,40.810748458218,145,145,145,456583.82599999994,465175.247
4170,53.34637281065,-36.131433443952,145,143,144,310850.351,323995.763
169925,53.349369410013,-36.180741551851,145,143,144,310850.351,323995.763
6058,53.39632068859,-36.083834351631,145,143,144,310850.351,323995.763
1972,10.645771343869,40.810988990882,139,139,139,448269.04299999995,456891.963
120244,5.1211547455924,59.280912157078,129,129,129,262281.436,269457.98600000003
120277,5.1085391441298,59.312331877356,129,129,129,262281.436,269457.98600000003
122000,5.0895210576047,59.317149966685,129,129,129,262281.436,269457.98600000003
122022,5.0619365693198,59.314691077696,129,129,129,262281.436,269457.98600000003
122027,5.0503832982947,59.299121193806,129,129,129,262281.436,269457.98600000003
122021,5.0571701340303,59.27394981937,129,129,129,262281.436,269457.98600000003
360002,196.41129699634,-49.393784797207,125,96,124,119491.90699999999,154745.54200000002
360311,196.4573421058,-49.446650111417,125,96,124,119491.90699999999,154745.54200000002
55412,196.23622364928,-49.560858699364,125,96,124,119491.90699999999,154745.54200000002
31582,196.3702038985,-49.495305231352,125,96,124,119491.90699999999,154745.54200000002
29109,196.39771079139,-49.486283740119,125,96,124,119491.90699999999,154745.54200000002
29883,196.34319594237,-49.449222544563,125,96,124,119491.90699999999,154745.54200000002
360107,196.32028978989,-49.533909018803,125,96,124,119491.90699999999,154745.54200000002
19949,185.51777353706,28.186376784348,124,124,124,180908.17000000007,186754.75399999996
45097,218.16338521101,-44.196580335026,121,118,121,196851.40099999998,211421.96099999998
346797,218.17490418905,-44.207241323138,121,118,121,196851.40099999998,211421.96099999998
58084,218.15691045976,-44.152994374261,121,118,121,196851.40099999998,211421.96099999998
30164,218.17599277553,-44.160739606514,121,118,121,196851.40099999998,211421.96099999998
346805,218.15238402142,-44.187127774971,121,118,121,196851.40099999998,211421.96099999998
346808,218.15615954266,-44.162050569246,121,118,121,196851.40099999998,211421.96099999998
346790,218.14844422279,-44.167615570391,121,118,121,196851.40099999998,211421.96099999998
40735,218.12508825867,-44.182281837213,121,118,121,196851.40099999998,211421.96099999998
40758,218.19237941376,-44.18679435355,121,118,121,196851.40099999998,211421.96099999998
41236,218.13983437935,-44.181118898933,121,118,121,196851.40099999998,211421.96099999998
34994,308.69400507401,60.224255907919,109,107,109,136731.439,142930.429
11140,308.77204140145,60.106332047669,109,107,109,136731.439,142930.429
41056,308.65243136239,60.099910457992,109,107,109,136731.439,142930.429
267043,308.58879861596,60.191006518797,109,107,109,136731.439,142930.429
4415,308.74094295238,60.163615859451,109,107,109,136731.439,142930.429
267095,308.64735667932,60.128435077758,109,107,109,136731.439,142930.429
52550,308.64691776591,60.194074877037,109,107,109,136731.439,142930.429
19973,308.80694577148,60.089415950668,109,107,109,136731.439,142930.429
2180,308.75423898057,60.169665140709,109,107,109,136731.439,142930.429
50391,308.72315551309,60.122302202816,109,107,109,136731.439,142930.429
2242,308.75047358206,60.15243820559,109,107,109,136731.439,142930.429
2231,308.75331499839,60.191756482114,109,107,109,136731.439,142930.429
3180,308.64422491899,60.175673525389,109,107,109,136731.439,142930.429
4196,308.70191558854,60.13626072587,109,107,109,136731.439,142930.429
3701,308.85694016824,60.165898743457,109,107,109,136731.439,142930.429
3593,308.82878702171,60.182185131834,109,107,109,136731.439,142930.429
16946,308.68936137258,60.153631807971,109,107,109,136731.439,142930.429
3442,308.81794597789,60.179687135956,109,107,109,136731.439,142930.429
267415,308.72388654934,60.096872214519,109,107,109,136731.439,142930.429
267408,308.7241226294,60.213395676391,109,107,109,136731.439,142930.429
267381,308.73643936175,60.092601214161,109,107,109,136731.439,142930.429
267338,308.70587884313,60.228247668034,109,107,109,136731.439,142930.429
3137,308.65260115201,60.158282811796,109,107,109,136731.439,142930.429
9848,308.77453923609,60.178796669537,109,107,109,136731.439,142930.429
267300,308.86489786561,60.155413748459,109,107,109,136731.439,142930.429
2732,308.60881325747,60.152576935146,109,107,109,136731.439,142930.429
65669,308.71000242393,60.12287796286,109,107,109,136731.439,142930.429
8750,308.60417689683,60.178102865814,109,107,109,136731.439,142930.429
2630,308.70378439402,60.205281324508,109,107,109,136731.439,142930.429
2602,308.73683047187,60.142744079862,109,107,109,136731.439,142930.429
27226,308.79551770131,60.14967030324,109,107,109,136731.439,142930.429
59707,308.58343411721,60.169482262629,109,107,109,136731.439,142930.429
267122,308.63089410518,60.18201596412,109,107,109,136731.439,142930.429
3372,308.80133701695,60.126411308402,109,107,109,136731.439,142930.429
4588,308.65954802939,60.077507674561,108,106,108,136674.91700000002,142872.771
362236,196.05764346518,-10.356576600155,106,102,104,159113.717,169979.684
362176,196.04641859918,-10.371170818606,105,101,103,158303.394,169142.25
281494,155.85608809201,19.917563979125,103,102,103,145319.16899999997,147529.09199999998
281562,155.89942658637,19.864185215502,101,100,101,144795.34699999995,146995.06399999995
281554,155.9073266646,19.849841711247,101,100,101,144795.34699999995,146995.06399999995
1030,180.47419150361,-18.886234497946,99,98,99,203817.16700000002,207251.897
16335,204.26803469757,-29.900780168992,99,96,97,171330.878,171003.88700000005
16855,204.26788967634,-29.855601061979,99,96,97,171330.878,171003.88700000005
18407,204.2587440013,-29.921706225875,99,96,97,171330.878,171003.88700000005
358805,185.44435040069,4.4996756567792,99,99,98,215623.064,221174.39700000003
358834,185.46492286228,4.5187582631639,99,99,98,215623.064,221174.39700000003
359079,185.49261085859,4.5154547408846,99,99,98,215623.064,221174.39700000003
359153,185.5051820255,4.4938474194005,99,99,98,215623.064,221174.39700000003
17016,204.23122445847,-29.91936406929,99,96,97,171330.878,171003.88700000005
332063,204.25658526072,-29.795270208103,99,96,97,171330.878,171003.88700000005
18627,204.23861730015,-29.894200322602,99,96,97,171330.878,171003.88700000005
45280,204.17073346285,-29.852950227854,99,96,97,171330.878,171003.88700000005
18972,204.18109705009,-29.851668054702,99,96,97,171330.878,171003.88700000005
17095,204.24756820488,-29.832820165842,99,96,97,171330.878,171003.88700000005
332074,204.23911209147,-29.791208209176,99,96,97,171330.878,171003.88700000005
332096,204.15367210873,-29.838507564444,99,96,97,171330.878,171003.88700000005
332130,204.14978095332,-29.85570099459,99,96,97,171330.878,171003.88700000005
22865,204.26616173481,-29.824605997066,99,96,97,171330.878,171003.88700000005
332177,204.18441097841,-29.811697595113,99,96,97,171330.878,171003.88700000005
333078,204.26194223961,-29.874080104162,99,96,97,171330.878,171003.88700000005
18224,204.25551107219,-29.890013344264,99,96,97,171330.878,171003.88700000005
281570,155.86737156178,19.832125311619,98,97,98,144490.707,146691.59999999998
333056,204.27974801674,-29.780488393217,98,95,96,170628.875,170300.859
22391,204.27921729743,-29.85009497642,98,95,96,170628.875,170300.859
359377,185.32209228936,4.6043734853192,98,98,97,197488.23100000003,202729.388
29871,274.96378539806,74.586750323002,97,97,97,380262.14800000004,385742.859
352791,188.93016411204,28.023856174299,97,97,97,154639.352,155781.826
352633,188.96549385959,27.934503042285,97,97,97,154639.352,155781.826
352625,188.95749578005,28.034071332528,97,97,97,154639.352,155781.826
16647,274.93151464533,74.560185695659,97,97,97,380262.14800000004,385742.859
8408,274.98333045613,74.580306050071,97,97,97,380262.14800000004,385742.859
332988,204.31144767058,-29.908334512244,96,93,94,168099.093,167770.40400000004
332980,204.31815778448,-29.827360799604,96,93,94,168099.093,167770.40400000004
15989,204.33242591091,-29.896528313776,96,93,94,168099.093,167770.40400000004
332085,204.24360653627,-29.944381321325,95,92,93,169272.941,168898.54500000004
352938,188.98457539606,27.990429203555,95,95,95,146480.80599999998,147612.29400000005
352808,188.98328214083,28.001634245893,95,95,95,146480.80599999998,147612.29400000005
352832,189.02734632463,27.937406214985,94,94,94,142001.19799999997,143125.54500000004
352867,189.04737992644,27.924191868654,94,94,94,142001.19799999997,143125.54500000004
352833,189.01336602131,27.9658881391,94,94,94,142001.19799999997,143125.54500000004
352980,189.00154101014,27.915714788046,94,94,94,142001.19799999997,143125.54500000004
352909,188.99365125437,27.961656644313,94,94,94,142001.19799999997,143125.54500000004
74264,103.24322834502,74.48204868054,88,88,88,163362.668,167805.162
169154,64.416545547361,-62.774323967232,86,82,82,152556.399,151425.874
169204,64.445471829263,-62.774164865095,83,79,79,151888.124,150743.94300000003
357186,185.7541071438,15.777204708516,82,79,81,153539.999,155485.068
356867,185.69233534735,15.813822898145,82,79,81,153539.999,155485.068
356874,185.70478169229,15.808349636169,82,79,81,153539.999,155485.068
356878,185.70281804742,15.836559428896,82,79,81,153539.999,155485.068
356895,185.68552491655,15.824578227423,82,79,81,153539.999,155485.068
357185,185.75414178119,15.82920603365,82,79,81,153539.999,155485.068
356931,185.7096728923,15.804834271458,82,79,81,153539.999,155485.068
356951,185.71649022574,15.787444663454,82,79,81,153539.999,155485.068
356934,185.71180576561,15.845063687912,82,79,81,153539.999,155485.068
305057,130.59029281089,70.966141143954,79,79,79,220484.938,227547.38199999995
28451,198.83129227619,42.050410800832,78,78,78,129959.635,131320.54
52052,54.630480749516,-35.403822466641,76,76,76,195412.31499999997,199327.86900000004
362988,198.85939419899,42.008776889628,76,76,76,128804.29000000001,130142.12100000001
318652,140.44688033443,51.009688303815,76,75,76,89153.308,89778.69100000002
362851,198.8927605025,42.039618862418,76,76,76,128804.29000000001,130142.12100000001
