Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC5964                ,234.4009095,5.9740148,0,0,0,0.0,0.0
NGC1012                ,39.812334,30.1516667,0,0,0,0.0,0.0
NGC1055                ,40.4383785,0.4434215,0,0,0,0.0,0.0
NGC1340                ,52.081809,-31.0681613,0,0,0,0.0,0.0
ESO291-022             ,350.54835,-42.5955519,0,0,0,0.0,0.0
ESO306-017             ,85.0279695,-40.8362699,0,0,0,0.0,0.0
PGC058586              ,249.064458,66.2399722,0,0,0,0.0,0.0
PGC060511              ,263.575608,68.0191106,0,0,0,0.0,0.0
PGC062535              ,283.36809150000005,68.4752768,0,0,0,0.0,0.0
PGC065597              ,313.0015395,-52.7549867,0,0,0,0.0,0.0
PGC066146              ,316.9225515,3.872119,0,0,0,0.0,0.0
PGC068149              ,332.2782495,2.0149167,0,0,0,0.0,0.0
PGC069457              ,340.1259615,3.3585093,0,0,0,0.0,0.0
PGC071158              ,350.2656015,-69.2170107,0,0,0,0.0,0.0
NGC2997                ,146.411625,-31.1910833,0,0,0,0.0,0.0
PGC075215              ,68.3340975,-13.4394984,0,0,0,0.0,0.0
PGC056821              ,240.6977595,19.7872548,0,0,0,0.0,0.0
PGC083292              ,159.988794,-8.5840272,0,0,0,0.0,0.0
PGC083477              ,174.468834,21.7992605,0,0,0,0.0,0.0
PGC088489              ,96.3976245,-53.8498056,0,0,0,0.0,0.0
PGC094246              ,210.442938,-11.575875,0,0,0,0.0,0.0
PGC099489              ,203.4495555,-31.5559973,0,0,0,0.0,0.0
PGC112808              ,153.8562915,-5.5622778,0,0,0,0.0,0.0
PGC1259426             ,184.07286150000002,3.8400009,0,0,0,0.0,0.0
PGC128758              ,56.4450195,-57.0657827,0,0,0,0.0,0.0
PGC128847              ,316.400637,-52.3781087,0,0,0,0.0,0.0
PGC133317              ,327.88962449999997,-27.4529722,0,0,0,0.0,0.0
PGC057841              ,244.950708,5.1621928,0,0,0,0.0,0.0
PGC056249              ,238.0236315,20.1451866,0,0,0,0.0,0.0
ESO365-026             ,98.023053,-35.6236,0,0,0,0.0,0.0
PGC037309              ,178.4642415,-19.6632112,0,0,0,0.0,0.0
PGC012425              ,49.9458525,0.5845571,0,0,0,0.0,0.0
PGC013653              ,55.752162,-53.6383302,0,0,0,0.0,0.0
NGC1056                ,40.7012505,28.5740972,0,0,0,0.0,0.0
PGC015524              ,68.4075,-13.2616389,0,0,0,0.0,0.0
PGC026378              ,139.952322,-12.2462632,0,0,0,0.0,0.0
ESO351-021             ,13.7495835,-35.3213889,0,0,0,0.0,0.0
PGC030258              ,155.2237155,48.5234285,0,0,0,0.0,0.0
PGC032640              ,163.1192505,45.8892316,0,0,0,0.0,0.0
PGC034112              ,168.1706295,13.4174746,0,0,0,0.0,0.0
PGC034881              ,170.555343,24.3171434,0,0,0,0.0,0.0
PGC039311              ,184.145115,60.3647812,0,0,0,0.0,0.0
PGC055696              ,234.7613955,5.8408692,0,0,0,0.0,0.0
ESO349-009             ,359.252952,-34.6805324,0,0,0,0.0,0.0
ESO347-008             ,350.2046595,-41.7309355,0,0,0,0.0,0.0
NGC1167                ,45.426526499999994,35.2057302,0,0,0,0.0,0.0
PGC046821              ,200.990076,-31.6458445,0,0,0,0.0,0.0
ESO325-004             ,205.8883095,-38.1759864,0,0,0,0.0,0.0
PGC049116              ,207.604917,68.55475,0,0,0,0.0,0.0
PGC051362              ,215.6545095,59.9308869,0,0,0,0.0,0.0
NGC1172                ,45.400125,-14.8366111,0,0,0,0.0,0.0
PGC053422              ,224.225709,65.9344324,0,0,0,0.0,0.0
PGC054773              ,230.28492,30.5735904,0,0,0,0.0,0.0
PGC027171              ,143.476278,34.0618708,0,0,0,0.0,0.0
