Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
NGC7541                ,348.6827625,4.533989,12,12,12,10888.608,11183.179000000002
NGC3557                ,167.4903675,-37.5392254,12,11,12,11565.908000000001,12110.137999999999
NGC3607                ,169.2276675,18.0518559,12,12,12,21547.170999999995,21997.211
NGC4246                ,184.4921655,7.1859226,12,12,12,14192.536,14260.875999999998
NGC0741                ,29.0875215,5.6287675,12,12,12,11710.209,11779.124
IC1687                 ,20.82945,33.2776067,12,12,12,11240.094,10202.863
NGC6753                ,287.848083,-57.0493889,12,12,12,4052.523,4159.007
ESO075-041             ,329.274792,-69.6898889,12,12,12,25414.604,25592.254999999997
NGC4365                ,186.1169205,7.3167467,12,11,12,13329.219,13692.155999999999
NGC7582                ,349.5962445,-42.3696669,12,12,12,23511.889000000003,23780.629999999994
NGC5252                ,204.56604,4.5425601,12,12,12,11795.436,11810.140000000003
NGC4782                ,193.649067,-12.5679456,12,12,12,3493.861000000001,3537.339
PGC005379              ,21.6812295,-1.3062222,12,12,12,20947.198000000004,21209.943
NGC7626                ,350.1772215,8.2169963,12,12,12,8905.397999999997,9018.02
IC1070                 ,223.4637435,3.4846939,12,11,12,60415.564000000006,62804.216
NGC7744                ,356.24677049999997,-42.910327,12,11,11,23862.757,27175.301
ESO139-012             ,264.412833,-59.9407222,11,11,11,23959.959000000006,25260.356
NGC6300                ,259.247382,-62.8201795,11,11,11,20000.951,20150.55
NGC0596                ,23.216271000000003,-7.0315417,11,11,11,23462.945,23884.958999999995
PGC2024686             ,200.12582849999998,33.1452635,11,11,11,5431.6810000000005,5449.558999999999
PGC027886              ,146.071476,54.1911983,11,10,11,21230.692,21576.962
NGC4217                ,183.9621975,47.0918971,11,11,11,11790.558000000003,11970.967
PGC127685              ,342.4926945,-64.4297394,11,11,11,5237.965,5297.444999999999
NGC1741                ,75.410067,-4.2582355,11,11,11,40154.310999999994,40316.132999999994
NGC4839                ,194.3514645,27.4977009,11,11,11,11684.987,11703.44
