source_name,source_ra,source_dec,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
2CXO J121406.2+543143 ,183.52595255111464,54.528629802472835,4,4,4,10774.641,10911.902999999998
2CXO J083658.6+553846 ,129.24428487507947,55.646182453954744,4,4,4,5603.056,5686.143999999999
2CXO J025059.5+372800 ,42.74830395389097,37.466682398777515,4,4,4,3913.8409999999994,3936.281
2CXO J081829.5+204544 ,124.62323518809103,20.76246469967636,4,4,4,4081.003,4191.579
2CXO J002532.2+682145 ,6.384371293557592,68.36255292003634,4,4,4,30363.780000000002,25646.156999999996
2CXO J071631.2-291928 ,109.13001617049105,-29.324687493268133,4,4,4,3666.3489999999997,3686.154
2CXO J112648.6+351454 ,171.70258198375655,35.2483614579806,4,4,4,10387.171999999999,10396.189
2CXO J124356.5+130736 ,190.98572493101756,13.126688812036335,4,4,4,13205.777,13509.641
2CXO J111038.7+284607 ,167.66166419469687,28.768781786198105,4,4,4,7464.52,8039.089999999999
2CXO J072000.3+175655 ,110.00159574435651,17.948680356352394,4,4,4,350.218,355.999
2CXO J121409.6+543135 ,183.5403380861021,54.526620088133996,4,4,4,10774.641,10911.902999999998
2CXO J121409.7+543215 ,183.54052859341368,54.53768913852384,4,4,4,10774.641,10911.902999999998
2CXO J110056.7+103014 ,165.2364286394527,10.50405208431491,4,4,4,16241.273,16151.849
2CXO J111038.3+284602 ,167.6598130013531,28.76736909330898,4,4,4,7464.52,8039.089999999999
2CXO J082126.3+210751 ,125.35981739873466,21.130951830041504,4,4,4,1621.8840000000002,1640.049
2CXO J125715.0-172050 ,194.31281692730477,-17.34737107943419,4,4,4,469.639,476.391
2CXO J162959.1+823048 ,247.49629301271057,82.51353192145166,4,4,4,30026.434999999998,29151.264
2CXO J234517.2+091617 ,356.3219710807051,9.271419962618365,4,4,4,1934.2040000000002,1967.6080000000002
2CXO J235123.0+200558 ,357.8462025968631,20.099601881337833,4,4,4,1091.597,1097.7259999999999
2CXO J151039.6+333650 ,227.66516018423476,33.614129078758545,4,4,4,3991.1899999999996,4028.5130000000004
2CXO J235122.4+200639 ,357.84374230097774,20.1108948581447,4,4,4,1091.597,1097.7259999999999
2CXO J235123.6+200637 ,357.8485950148438,20.11054402785899,4,4,4,1091.597,1097.7259999999999
2CXO J112648.5+351502 ,171.70211205749513,35.250804075064714,4,4,4,10387.171999999999,10396.189
2CXO J123740.3+114727 ,189.41797378183492,11.791056460110058,4,4,4,24716.783,21247.571
2CXO J235124.8+200642 ,357.85347844100147,20.11190259778207,4,4,4,1091.597,1097.7259999999999
2CXO J111042.8+284135 ,167.67861680610804,28.69312247437253,4,4,4,7464.52,8039.089999999999
2CXO J175603.7+182223 ,269.0156817307511,18.373191317510784,4,4,4,4693.25,4728.7300000000005
2CXO J235127.0+200653 ,357.86267362927083,20.114919437272714,4,4,4,1091.597,1097.7259999999999
2CXO J000138.3+232901 ,0.40963303203631085,23.483701274474303,4,4,4,2957.902,2985.183
2CXO J000139.2+232832 ,0.41358637020556444,23.47581742712659,4,4,4,2957.902,2985.183
2CXO J000140.9+232938 ,0.42056505219056817,23.493988716110337,4,4,4,2957.902,2985.183
2CXO J000141.1+232949 ,0.42149528095785627,23.497164666431992,4,4,4,2957.902,2985.183
2CXO J134112.8-143840 ,205.30362693748089,-14.644490870744006,4,4,4,11246.231,11260.809000000001
2CXO J235127.5+200651 ,357.8646762981697,20.11441769800451,4,4,4,1091.597,1097.7259999999999
2CXO J020019.4+311847 ,30.081018317183236,31.31327283745045,4,4,4,1797.1410000000003,1816.213
2CXO J061917.7-705931 ,94.8239825437285,-70.99206981775325,4,4,4,19072.631,18600.997
2CXO J175559.7+182017 ,268.99901705105435,18.338312363996977,4,4,4,4693.25,4728.7300000000005
2CXO J111021.2+283734 ,167.58859333122427,28.626263862297137,4,4,4,7464.52,8039.089999999999
2CXO J124351.8+130820 ,190.96617820444942,13.139024578993492,4,4,4,13205.777,13509.641
2CXO J102219.7+213432 ,155.58217664783763,21.575675505620847,3,3,3,1527.497,1552.0430000000001
2CXO J084427.1-314151 ,131.11325322794744,-31.697748702752584,3,3,3,3219.261,3253.9350000000004
2CXO J005624.4-010837 ,14.10204805626529,-1.1437078148647364,3,3,3,4623.255000000001,4764.339
2CXO J170050.3+230039 ,255.20973996398345,23.01106387519896,3,3,3,1856.9719999999998,1871.607
2CXO J223041.0+391730 ,337.6709585073411,39.29170136603517,3,3,3,3154.554,3188.082
2CXO J101338.3-005532 ,153.40996920580267,-0.9255713014430449,3,0,3,0.0,155.56799999999998
2CXO J101338.2-005530 ,153.40923789022145,-0.9250558058943529,3,0,3,0.0,155.56799999999998
2CXO J064310.6-741434 ,100.79429033100325,-74.24301767261939,3,3,3,2024.673,2140.6440000000002
