name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter
tab_BAD,21,21,21,0,20,M31_ULX-1,FULL,UVM2
tab_no_BAD,7,7,0,7,1,M31_ULX-1,FULL,UVM2
tab_UL_no_bad,1,1,0,1,1,M31_ULX-1,FULL,UVM2
tab_no_UL_no_bad,6,6,0,6,0,M31_ULX-1,FULL,UVM2
tab,353,353,338,15,342,M31_ULX-1,FULL,UVW1
tab_5_sig,352,352,338,14,342,M31_ULX-1,FULL,UVW1
tab_UL,342,342,330,12,342,M31_ULX-1,FULL,UVW1
tab_no_UL,10,10,8,2,0,M31_ULX-1,FULL,UVW1
tab_BAD,338,338,338,0,330,M31_ULX-1,FULL,UVW1
tab_no_BAD,14,14,0,14,12,M31_ULX-1,FULL,UVW1
tab_UL_no_bad,12,12,0,12,12,M31_ULX-1,FULL,UVW1
tab_no_UL_no_bad,2,2,0,2,0,M31_ULX-1,FULL,UVW1
tab,65,65,63,2,60,M31_ULX-1,FULL,UVW2
tab_5_sig,64,64,63,1,60,M31_ULX-1,FULL,UVW2
tab_UL,60,60,60,0,60,M31_ULX-1,FULL,UVW2
tab_no_UL,4,4,3,1,0,M31_ULX-1,FULL,UVW2
tab_BAD,63,63,63,0,60,M31_ULX-1,FULL,UVW2
tab_no_BAD,1,1,0,1,0,M31_ULX-1,FULL,UVW2
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,FULL,UVW2
tab_no_UL_no_bad,1,1,0,1,0,M31_ULX-1,FULL,UVW2
tab,5,5,5,0,0,M31_ULX-1,HARD,UVM2
tab_5_sig,5,5,5,0,0,M31_ULX-1,HARD,UVM2
tab_UL,0,0,0,0,0,M31_ULX-1,HARD,UVM2
tab_no_UL,5,5,5,0,0,M31_ULX-1,HARD,UVM2
tab_BAD,5,5,5,0,0,M31_ULX-1,HARD,UVM2
tab_no_BAD,0,0,0,0,0,M31_ULX-1,HARD,UVM2
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,HARD,UVM2
tab_no_UL_no_bad,0,0,0,0,0,M31_ULX-1,HARD,UVM2
tab,79,79,77,2,0,M31_ULX-1,HARD,UVW1
tab_5_sig,79,79,77,2,0,M31_ULX-1,HARD,UVW1
tab_UL,0,0,0,0,0,M31_ULX-1,HARD,UVW1
tab_no_UL,79,79,77,2,0,M31_ULX-1,HARD,UVW1
tab_BAD,77,77,77,0,0,M31_ULX-1,HARD,UVW1
tab_no_BAD,2,2,0,2,0,M31_ULX-1,HARD,UVW1
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,HARD,UVW1
tab_no_UL_no_bad,2,2,0,2,0,M31_ULX-1,HARD,UVW1
tab,27,27,27,0,0,M31_ULX-1,HARD,UVW2
tab_5_sig,27,27,27,0,0,M31_ULX-1,HARD,UVW2
tab_UL,0,0,0,0,0,M31_ULX-1,HARD,UVW2
tab_no_UL,27,27,27,0,0,M31_ULX-1,HARD,UVW2
tab_BAD,27,27,27,0,0,M31_ULX-1,HARD,UVW2
tab_no_BAD,0,0,0,0,0,M31_ULX-1,HARD,UVW2
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,HARD,UVW2
tab_no_UL_no_bad,0,0,0,0,0,M31_ULX-1,HARD,UVW2
tab,5,5,5,0,0,M31_ULX-1,SOFT,UVM2
tab_5_sig,5,5,5,0,0,M31_ULX-1,SOFT,UVM2
tab_UL,0,0,0,0,0,M31_ULX-1,SOFT,UVM2
tab_no_UL,5,5,5,0,0,M31_ULX-1,SOFT,UVM2
tab_BAD,5,5,5,0,0,M31_ULX-1,SOFT,UVM2
tab_no_BAD,0,0,0,0,0,M31_ULX-1,SOFT,UVM2
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,SOFT,UVM2
tab_no_UL_no_bad,0,0,0,0,0,M31_ULX-1,SOFT,UVM2
tab,79,79,77,2,0,M31_ULX-1,SOFT,UVW1
tab_5_sig,79,79,77,2,0,M31_ULX-1,SOFT,UVW1
tab_UL,0,0,0,0,0,M31_ULX-1,SOFT,UVW1
tab_no_UL,79,79,77,2,0,M31_ULX-1,SOFT,UVW1
tab_BAD,77,77,77,0,0,M31_ULX-1,SOFT,UVW1
tab_no_BAD,2,2,0,2,0,M31_ULX-1,SOFT,UVW1
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,SOFT,UVW1
tab_no_UL_no_bad,2,2,0,2,0,M31_ULX-1,SOFT,UVW1
tab,27,27,27,0,0,M31_ULX-1,SOFT,UVW2
tab_5_sig,27,27,27,0,0,M31_ULX-1,SOFT,UVW2
tab_UL,0,0,0,0,0,M31_ULX-1,SOFT,UVW2
tab_no_UL,27,27,27,0,0,M31_ULX-1,SOFT,UVW2
tab_BAD,27,27,27,0,0,M31_ULX-1,SOFT,UVW2
tab_no_BAD,0,0,0,0,0,M31_ULX-1,SOFT,UVW2
tab_UL_no_bad,0,0,0,0,0,M31_ULX-1,SOFT,UVW2
tab_no_UL_no_bad,0,0,0,0,0,M31_ULX-1,SOFT,UVW2
tab,41,41,0,41,3,M82_X-2,FULL,B
tab_5_sig,41,41,0,41,3,M82_X-2,FULL,B
tab_UL,3,3,0,3,3,M82_X-2,FULL,B
tab_no_UL,38,38,0,38,0,M82_X-2,FULL,B
tab_BAD,0,0,0,0,0,M82_X-2,FULL,B
tab_no_BAD,41,41,0,41,3,M82_X-2,FULL,B
tab_UL_no_bad,3,3,0,3,3,M82_X-2,FULL,B
tab_no_UL_no_bad,38,38,0,38,0,M82_X-2,FULL,B
tab,81,81,0,81,0,M82_X-2,FULL,U
tab_5_sig,81,81,0,81,0,M82_X-2,FULL,U
tab_UL,0,0,0,0,0,M82_X-2,FULL,U
tab_no_UL,81,81,0,81,0,M82_X-2,FULL,U
tab_BAD,0,0,0,0,0,M82_X-2,FULL,U
tab_no_BAD,81,81,0,81,0,M82_X-2,FULL,U
tab_UL_no_bad,0,0,0,0,0,M82_X-2,FULL,U
tab_no_UL_no_bad,81,81,0,81,0,M82_X-2,FULL,U
tab,108,108,0,108,1,M82_X-2,FULL,UVM2
tab_5_sig,107,107,0,107,0,M82_X-2,FULL,UVM2
tab_UL,0,0,0,0,0,M82_X-2,FULL,UVM2
tab_no_UL,107,107,0,107,0,M82_X-2,FULL,UVM2
tab_BAD,0,0,0,0,0,M82_X-2,FULL,UVM2
tab_no_BAD,107,107,0,107,0,M82_X-2,FULL,UVM2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,FULL,UVM2
tab_no_UL_no_bad,107,107,0,107,0,M82_X-2,FULL,UVM2
tab,99,99,0,99,0,M82_X-2,FULL,UVW1
