name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter,include_bad,include_UL
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HARD,UVM2,True,False
tab,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_5_sig,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_no_UL,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_no_BAD,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab_no_UL_no_bad,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,False,False
tab,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_5_sig,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_no_UL,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_no_BAD,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab_no_UL_no_bad,52,52,0,52,0,Holmberg_II_X-1,HARD,UVW1,True,False
tab,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_5_sig,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_no_UL,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_no_BAD,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab_no_UL_no_bad,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2,False,False
tab,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_5_sig,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_no_UL,46,46,3,43,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_no_BAD,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab_no_UL_no_bad,43,43,0,43,0,Holmberg_II_X-1,HARD,UVW2,True,False
tab,98,98,0,98,0,Holmberg_II_X-1,HR,U,False,False
tab_5_sig,95,95,0,95,0,Holmberg_II_X-1,HR,U,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,U,False,False
tab_no_UL,95,95,0,95,0,Holmberg_II_X-1,HR,U,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,U,False,False
tab_no_BAD,95,95,0,95,0,Holmberg_II_X-1,HR,U,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,U,False,False
tab_no_UL_no_bad,95,95,0,95,0,Holmberg_II_X-1,HR,U,False,False
tab,98,98,0,98,0,Holmberg_II_X-1,HR,U,True,False
tab_5_sig,95,95,0,95,0,Holmberg_II_X-1,HR,U,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,U,True,False
tab_no_UL,95,95,0,95,0,Holmberg_II_X-1,HR,U,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,U,True,False
tab_no_BAD,95,95,0,95,0,Holmberg_II_X-1,HR,U,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,U,True,False
tab_no_UL_no_bad,95,95,0,95,0,Holmberg_II_X-1,HR,U,True,False
tab,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2,False,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2,False,False
tab,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVM2,True,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,HR,UVM2,True,False
tab,52,52,0,52,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_5_sig,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_no_BAD,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,False,False
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,False,False
tab,52,52,0,52,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_5_sig,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_no_UL,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_no_BAD,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,HR,UVW1,True,False
tab_no_UL_no_bad,48,48,0,48,0,Holmberg_II_X-1,HR,UVW1,True,False
tab,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,False,False
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,False,False
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,False,False
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,False,False
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,False,False
tab,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,True,False
tab_5_sig,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,True,False
tab_no_UL,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,True,False
tab_no_BAD,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,U,True,False
tab_no_UL_no_bad,98,98,0,98,0,Holmberg_II_X-1,SOFT,U,True,False
tab,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,SOFT,UVM2,False,False
tab,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_5_sig,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,True,False
